product_category_name,count
brinquedos,3886
automotivo,3897
telefonia,4199
relogios_presentes,5624
utilidades_domesticas,5884
moveis_decoracao,6449
informatica_acessorios,6689
esporte_lazer,7720
beleza_saude,8836
cama_mesa_banho,9417
